Unnamed: 0,target,generated_val
0,"ReadTheDocs improvements
",# ReadTheDocs integration
1,"Permit empty environment variables as unset in `setup.py`
This change fixes a bug that causes `setup.py` to fail when any of its configuration environment variables are the empty string.

For example, running the following:
```bash
export DS_BUILD_OPS=""""
pip install deepspeed
```
Currently fails with the following message:
```
BUILD_OP_DEFAULT = int(os.environ.get('DS_BUILD_OPS', BUILD_OP_PLATFORM))
ValueError: invalid literal for int() with base 10: ''
```
Because `os.environ.get` does not use its fallback argument when an environment variable exists, but is empty.
Similarly, `key in os.environ` returns `True` for empty (but still set) keys.

Shells usually do not distinguish between unset variables and empty variables, so setting variables to the empty string is usually seen as another way to unset them. This specifically arose as an issue for me while I was writing a Dockerfile, since those have no way to unset `ENV` and `ARG` directives—only to set them to the empty string (or to figure out and hardcode what the default *would have* resolved to for each `ARG`). I figure fixing this here is more helpful than writing weird workarounds.

This changes `setup.py` to treat unset and empty environment variables identically. This behaviour could potentially be changed in other files, as well, but that is not included here.

Co-authored-by: Eta0 <Eta0@users.noreply.github.com>",# Fix #1111
2,"Fix _PIP_ADDITIONAL_REQUIREMENTS case for docker-compose
Recent versions of Airflow do not allow to run `pip install` as
root but the `init` job runs as root so when the variable
_PIP_ADDITIONAL_REQUIREMENTS is set, the init container fails.

This PR forces _PIP_ADDITIONAL_REQUIREMENTS to be empty for the init
job.

<!--
Thank you for contributing! Please make sure that your code changes
are covered with tests. And in case of new features or big changes
remember to adjust the documentation.

Feel free to ping committers for the review!

In case of existing issue, reference it using one of the following:

closes: #ISSUE
related: #ISSUE

How to write a good git commit message:
http://chris.beams.io/posts/git-commit/
-->

---
**^ Add meaningful description above**

Read the **[Pull Request Guidelines](https://github.com/apache/airflow/blob/main/CONTRIBUTING.rst#pull-request-guidelines)** for more information.
In case of fundamental code change, Airflow Improvement Proposal ([AIP](https://cwiki.apache.org/confluence/display/AIRFLOW/Airflow+Improvements+Proposals)) is needed.
In case of a new dependency, check compliance with the [ASF 3rd Party License Policy](https://www.apache.org/legal/resolved.html#category-x).
In case of backwards incompatible changes please leave a note in a newsfragement file, named `{pr_number}.significant.rst`, in [newsfragments](https://github.com/apache/airflow/tree/main/newsfragments).
",# [AIRFLOW-1111] Add _PIP_ADDITIONAL_REQUIREMENTS to docker-compose.yamlFixes #1111
3,"[Callin] Add new extractor
## Please follow the guide below

- You will be asked some questions, please read them **carefully** and answer honestly
- Put an `x` into all the boxes [ ] relevant to your *pull request* (like that [x])
- Use *Preview* tab to see how your *pull request* will actually look like

---

### Before submitting a *pull request* make sure you have:
- [x] [Searched](https://github.com/ytdl-org/youtube-dl/search?q=is%3Apr&type=Issues) the bugtracker for similar pull requests
- [x] Read [adding new extractor tutorial](https://github.com/ytdl-org/youtube-dl#adding-support-for-a-new-site)
- [x] Read [youtube-dl coding conventions](https://github.com/ytdl-org/youtube-dl#youtube-dl-coding-conventions) and adjusted the code to meet them
- [x] Covered the code with tests (note that PRs without tests will be REJECTED)
- [x] Checked the code with [flake8](https://pypi.python.org/pypi/flake8)

### In order to be accepted and merged into youtube-dl each piece of code must be in public domain or released under [Unlicense](http://unlicense.org/). Check one of the following options:
- [x] I am the original author of this code and I am willing to release it under [Unlicense](http://unlicense.org/)
- [ ] I am not the original author of this code but it is in public domain or released under [Unlicense](http://unlicense.org/) (provide reliable evidence)

### What is the purpose of your *pull request*?
- [ ] Bug fix
- [ ] Improvement
- [x] New extractor
- [ ] New feature

---

### Description of your *pull request* and other information

Adds a new extractor for Callin. Works for both Python2 and Python3.
Supersedes, closes #31230.

Special thanks to @dirkf for the insights provided in the issue thread.",# [callin] New extractor
4,"增加language选项的说明
增加language选项的说明，中文(ch)，英文(en)和韩文(ko)",# update readme
5,"cryptocom: remove transfer & fetchtransfer
Those apis were deprecated.",# cryptocom: remove transfer and fetchTransfers
6,"Change scheduled CIs to use torch 1.12.1
# What does this PR do?

To align with CircleCI tests.",# Update pytorch version to 1.12.1
7,"Fix Issue #11384 - Explaining how to load external backends in the documentation
### Summary
Created additional documentation for the ""Switching from one backend to another"" section of the documentation, including an example of an edited keras.json configuration file.

### Related Issues
Solves issue #11384 

### PR Overview

- [ ] This PR requires new unit tests [y/n] (make sure tests are included)
- [x] This PR requires to update the documentation [y/n] (make sure the docs are up-to-date)
- [x] This PR is backwards compatible [y/n]
- [ ] This PR changes the current API [y/n] (all API changes need to be approved by fchollet)
",# Added documentation for external backends
8,"bpo-31801:  Enum:  add _ignore_ as class option
_ignore_ is a list, or white-space seperated str, of names that will not
be candidates for members; these names, and _ignore_ itself, are removed
from the final class.

<!-- issue-number: bpo-31801 -->
https://bugs.python.org/issue31801
<!-- /issue-number -->
",# bpo-31801: Add _ignore_ to EnumAdd _ignore_ to Enum so temporary variables can be used during class construction without being turned into members.https://bugs.python.org/issue31801
9,"Bump mislav/bump-homebrew-formula-action from 1 to 2
Bumps [mislav/bump-homebrew-formula-action](https://github.com/mislav/bump-homebrew-formula-action) from 1 to 2.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""https://github.com/mislav/bump-homebrew-formula-action/releases"">mislav/bump-homebrew-formula-action's releases</a>.</em></p>
<blockquote>
<h2>bump-homebrew-formula 2.0</h2>
<h2>What's Changed</h2>
<ul>
<li>Use Node 16 by <a href=""https://github.com/chenrui333""><code>@​chenrui333</code></a> in <a href=""https://github-redirect.dependabot.com/mislav/bump-homebrew-formula-action/pull/36"">mislav/bump-homebrew-formula-action#36</a></li>
<li>Bump minimist from 1.2.5 to 1.2.6 by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://github-redirect.dependabot.com/mislav/bump-homebrew-formula-action/pull/33"">mislav/bump-homebrew-formula-action#33</a></li>
<li>Bump node-fetch from 2.6.6 to 2.6.7 by <a href=""https://github.com/dependabot""><code>@​dependabot</code></a> in <a href=""https://github-redirect.dependabot.com/mislav/bump-homebrew-formula-action/pull/34"">mislav/bump-homebrew-formula-action#34</a></li>
</ul>
<h2>New Contributors</h2>
<ul>
<li><a href=""https://github.com/chenrui333""><code>@​chenrui333</code></a> made their first contribution in <a href=""https://github-redirect.dependabot.com/mislav/bump-homebrew-formula-action/pull/36"">mislav/bump-homebrew-formula-action#36</a></li>
</ul>
<h2>bump-homebrew-formula 1.16</h2>
<ul>
<li>Replaces broken v1.15 tag, thanks <a href=""https://github.com/hendrikmaus""><code>@​hendrikmaus</code></a> <a href=""https://github-redirect.dependabot.com/mislav/bump-homebrew-formula-action/issues/32"">mislav/bump-homebrew-formula-action#32</a></li>
<li>Add <code>push-to</code> option, thanks <a href=""https://github.com/codefromthecrypt""><code>@​codefromthecrypt</code></a> <a href=""https://github-redirect.dependabot.com/mislav/bump-homebrew-formula-action/pull/30"">mislav/bump-homebrew-formula-action#30</a></li>
<li>Fix syntax error, thanks <a href=""https://github.com/hendrikmaus""><code>@​hendrikmaus</code></a> <a href=""https://github.com/wata727""><code>@​wata727</code></a> <a href=""https://github-redirect.dependabot.com/mislav/bump-homebrew-formula-action/pull/27"">mislav/bump-homebrew-formula-action#27</a></li>
<li>Ensure repeated placeholders in <code>commit-message</code> are expanded, thanks <a href=""https://github.com/hendrikmaus""><code>@​hendrikmaus</code></a> <a href=""https://github-redirect.dependabot.com/mislav/bump-homebrew-formula-action/pull/29"">mislav/bump-homebrew-formula-action#29</a></li>
</ul>
<h2>bump-homebrew-formula 1.14</h2>
<ul>
<li>Ignore HTTP 409 error when fast-forwading the main branch of <code>homebrew-tap</code> fork</li>
</ul>
<h2>bump-homebrew-formula 1.13</h2>
<ul>
<li>Add <code>create-pullrequest</code> input to control whether or not a PR is submitted to <code>homebrew-tap</code></li>
<li>Add <code>download-sha256</code> input to define the SHA256 checksum of the archive at <code>download-url</code></li>
<li>Fix creating a new branch in the forked repo failing with HTTP 404</li>
</ul>
<h2>bump-homebrew-formula 1.12</h2>
<ul>
<li>Fix Actions CJS loader halting on <code>foo?.bar</code> JS syntax</li>
</ul>
<h2>bump-homebrew-formula 1.11</h2>
<ul>
<li>New optional <code>formula-path</code> input accepts the filename of the formula file to edit (default <code>Formula/&lt;formula-name&gt;.rb</code>).</li>
<li>Remove <code>revision N</code> lines when bumping Homebrew formulae.</li>
</ul>
<h2>bump-homebrew-formula 1.10</h2>
<ul>
<li>The new optional <code>tag-name</code> input allows this action to be <a href=""https://docs.github.com/en/actions/managing-workflow-runs/manually-running-a-workflow"">manually triggered via <code>workflow_dispatch</code></a> instead of on git push to a tag.</li>
</ul>
<h2>bump-homebrew-formula 1.9</h2>
<ul>
<li>Fix following multiple HTTP redirects while calculating checksum for <code>download-url</code></li>
</ul>
<h2>bump-homebrew-formula 1.8</h2>
<ul>
<li>Enable JavaScript source maps for better failure debugging</li>
</ul>
<h2>bump-homebrew-formula 1.7</h2>
<ul>
<li>
<p>Allow <code>download-url</code> as input parameter</p>
</li>
<li>
<p>Add support for git-based <code>download-url</code></p>
</li>
</ul>
<h2>bump-homebrew-formula 1.6</h2>
<ul>
<li>Control the git commit message template being used for updating the formula file via the <code>commit-message</code> action input</li>
</ul>
<h2>bump-homebrew-formula 1.5</h2>
<ul>
<li>Support detection version from <code>https://github.com/OWNER/REPO/releases/download/TAG/FILE</code> download URLs</li>
</ul>
<!-- raw HTML omitted -->
</blockquote>
<p>... (truncated)</p>
</details>
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/mislav/bump-homebrew-formula-action/commit/fcd7e28e549f14d3aebc53b4d9e929de579f372f""><code>fcd7e28</code></a> lib</li>
<li><a href=""https://github.com/mislav/bump-homebrew-formula-action/commit/33989a8502c3e0e8f10aa573822cb197ba12416d""><code>33989a8</code></a> Merge branch 'main' into v2</li>
<li><a href=""https://github.com/mislav/bump-homebrew-formula-action/commit/5983bb6c5927ad5c4bc757af789cc409ec9e6cfe""><code>5983bb6</code></a> Improve extracting complex tag names from URLs</li>
<li><a href=""https://github.com/mislav/bump-homebrew-formula-action/commit/9750a1166b188c9d191826c9709f694d756a3f0b""><code>9750a11</code></a> lib</li>
<li><a href=""https://github.com/mislav/bump-homebrew-formula-action/commit/64410e9c960837db57b7e35627eb716faaaaec51""><code>64410e9</code></a> v2</li>
<li><a href=""https://github.com/mislav/bump-homebrew-formula-action/commit/677d7482a32a66d2f02f743c055b2b684bbc5838""><code>677d748</code></a> Merge pull request <a href=""https://github-redirect.dependabot.com/mislav/bump-homebrew-formula-action/issues/36"">#36</a> from chenrui333/node-16</li>
<li><a href=""https://github.com/mislav/bump-homebrew-formula-action/commit/f364e76079bee9fa7e64be01eb392e1d26d25e00""><code>f364e76</code></a> also update some build dependencies</li>
<li><a href=""https://github.com/mislav/bump-homebrew-formula-action/commit/c08fd9bee59ec4187ebe9e93e8694631bbf8cf00""><code>c08fd9b</code></a> deps: update to use nodev16</li>
<li><a href=""https://github.com/mislav/bump-homebrew-formula-action/commit/280f532e9a9102e9dc2513c910c57f0bc3e72b8d""><code>280f532</code></a> Merge pull request <a href=""https://github-redirect.dependabot.com/mislav/bump-homebrew-formula-action/issues/34"">#34</a> from mislav/dependabot/npm_and_yarn/node-fetch-2.6.7</li>
<li><a href=""https://github.com/mislav/bump-homebrew-formula-action/commit/5d94a66af35c6bb4116471cc38b8be76c5d1b955""><code>5d94a66</code></a> Bump node-fetch from 2.6.6 to 2.6.7</li>
<li>Additional commits viewable in <a href=""https://github.com/mislav/bump-homebrew-formula-action/compare/v1...v2"">compare view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=mislav/bump-homebrew-formula-action&package-manager=github_actions&previous-version=1&new-version=2)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)


</details>",# Update bump-homebrew-formula-action to v2
